team,wins,losses,ties,pct
Arizona Cardinals,56,63,1,0.4666666666666667
Atlanta Falcons,57,62,1,0.475
Baltimore Ravens,66,48,6,0.55
Buffalo Bills,58,57,5,0.48333333333333334
Carolina Panthers,56,60,4,0.4666666666666667
Chicago Bears,62,56,2,0.5166666666666667
Cincinnati Bengals,48,66,6,0.4
Cleveland Browns,52,55,5,0.4642857142857143
Dallas Cowboys,60,57,3,0.5
Denver Broncos,52,65,3,0.43333333333333335
Detroit Lions,59,58,3,0.49166666666666664
Green Bay Packers,65,52,3,0.5416666666666666
Houston Texans,45,39,4,0.5113636363636364
Indianapolis Colts,59,59,2,0.49166666666666664
Jacksonville Jaguars,58,59,3,0.48333333333333334
Kansas City Chiefs,59,58,3,0.49166666666666664
Miami Dolphins,52,65,3,0.43333333333333335
Minnesota Vikings,61,55,4,0.5083333333333333
New England Patriots,64,51,5,0.5333333333333333
New Orleans Saints,53,62,3,0.4491525423728814
New York Giants,53,64,4,0.4380165289256198
New York Jets,56,61,3,0.4666666666666667
Oakland Raiders,47,70,3,0.39166666666666666
Philadelphia Eagles,56,60,4,0.4666666666666667
Pittsburgh Steelers,59,58,3,0.49166666666666664
San Diego Chargers,59,59,3,0.48760330578512395
San Francisco 49ers,60,54,6,0.5
Seattle Seahawks,66,49,5,0.55
St Louis Rams,56,61,3,0.4666666666666667
Tampa Bay Buccaneers,59,57,4,0.49166666666666664
Tennessee Oilers,2,6,0,0.25
Tennessee Titans,57,54,1,0.5089285714285714
Washington Redskins,51,64,5,0.425
