line,wins,losses,ties,pct,n
-14.0,2,5,0,0.2857142857142857,7
-13.5,0,4,0,0.0,4
-13.0,1,2,0,0.3333333333333333,3
-12.5,0,4,0,0.0,4
-12.0,1,2,0,0.3333333333333333,3
-11.5,4,1,0,0.8,5
-11.0,0,9,0,0.0,9
-10.5,2,13,0,0.13333333333333333,15
-10.0,5,16,0,0.23809523809523808,21
-9.5,4,12,0,0.25,16
-9.0,5,12,1,0.2777777777777778,18
-8.5,6,8,0,0.42857142857142855,14
-8.0,10,15,0,0.4,25
-7.5,9,20,0,0.3103448275862069,29
-7.0,24,67,0,0.26373626373626374,91
-6.5,18,48,0,0.2727272727272727,66
-6.0,17,39,0,0.30357142857142855,56
-5.5,6,27,0,0.18181818181818182,33
-5.0,10,25,0,0.2857142857142857,35
-4.5,9,32,0,0.21951219512195122,41
-4.0,19,44,0,0.30158730158730157,63
-3.5,43,74,0,0.36752136752136755,117
-3.0,123,170,0,0.4197952218430034,293
-2.5,49,62,0,0.44144144144144143,111
-2.0,19,20,0,0.48717948717948717,39
-1.5,25,30,0,0.45454545454545453,55
-1.0,34,24,0,0.5862068965517241,58
-0.5,0,0,0,0.0,0
0.0,22,19,0,0.5365853658536586,41
0.5,0,0,0,0.0,0
1.0,48,42,0,0.5333333333333333,90
1.5,39,35,0,0.527027027027027,74
2.0,49,28,0,0.6363636363636364,77
2.5,58,58,0,0.5,116
3.0,232,175,0,0.5700245700245701,407
3.5,104,64,0,0.6190476190476191,168
4.0,78,41,0,0.6554621848739496,119
4.5,63,38,0,0.6237623762376238,101
5.0,48,22,0,0.6857142857142857,70
5.5,57,36,1,0.6063829787234043,94
6.0,81,45,0,0.6428571428571429,126
6.5,86,41,0,0.6771653543307087,127
7.0,155,52,0,0.748792270531401,207
7.5,78,16,0,0.8297872340425532,94
8.0,42,14,0,0.75,56
8.5,42,8,0,0.84,50
9.0,62,13,0,0.8266666666666667,75
9.5,52,12,0,0.8125,64
10.0,70,14,0,0.8333333333333334,84
10.5,43,9,0,0.8269230769230769,52
11.0,29,4,0,0.8787878787878788,33
11.5,21,2,0,0.9130434782608695,23
12.0,18,5,0,0.782608695652174,23
12.5,19,4,0,0.8260869565217391,23
13.0,25,6,1,0.78125,32
13.5,33,6,0,0.8461538461538461,39
